Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Blessings (feat. Etana),Alborosie,Specialist Presents Alborosie & Friends,2018,216226,4,0.649,0.583,4,-5.953,0,0.304,0.0666,0,0.122,0.645,150.021,46
Herbalist,Alborosie,Soul Pirate,2009,191333,4,0.804,0.607,10,-6.84,0,0.37,0.0773,0,0.0993,0.823,142.421,56
Kingdom Of Zion,Alborosie,Kingdom Of Zion,2010,205000,4,0.664,0.526,11,-12.675,0,0.136,0.015,0.0000461,0.304,0.74,154.014,37
Rastafari Anthem,Alborosie,Soul Pirate,2008,206733,4,0.758,0.643,7,-6.107,1,0.392,0.0353,0,0.134,0.568,76.757,46
Still Blazing,Alborosie,Soul Pirate,2009,230573,4,0.749,0.704,6,-5.415,0,0.269,0.0159,0.00000202,0.0886,0.821,145.618,50
Apartheid Is Nazism - 2010 Remastered Edition,Alpha Blondy,Apartheid Is Nazism (2010 Remastered Edition),2010,287600,4,0.9,0.681,9,-4.681,1,0.0722,0.315,0,0.0494,0.868,131.509,39
Brigadier Sabari,Alpha Blondy,Best Of,1983,283973,4,0.881,0.74,10,-6.763,0,0.159,0.239,0.00000156,0.305,0.961,88.274,36
Cocody Rock - 2010 Remastered Edition,Alpha Blondy,Cocody Rock !!! (2010 Remastered Edition),2010,294000,4,0.796,0.669,6,-6.333,0,0.0912,0.107,0.000113,0.0891,0.96,147.367,55
I Wish You Were Here,Alpha Blondy,Jah Victory,1991,267360,4,0.794,0.57,7,-7.753,1,0.0647,0.0197,0.014,0.104,0.575,143.975,66
Jerusalem,Alpha Blondy,Best Of,1986,469640,4,0.717,0.445,8,-5.726,0,0.0665,0.403,0.000068,0.105,0.695,131.207,43
Breaking Up (Is Hard to Do),Alton Ellis,Mr Soul of Jamaica,1971,180840,4,0.669,0.604,11,-6.202,1,0.143,0.255,0.000578,0.223,0.846,76.525,24
Cry Tough,Alton Ellis,Mr Soul of Jamaica,1967,136186,4,0.702,0.346,9,-13.478,0,0.0433,0.864,0.00019,0.104,0.7,97.006,26
Dance Crasher,Alton Ellis,Mr Soul of Jamaica,1969,161106,4,0.733,0.652,7,-7.585,1,0.0325,0.106,0.000781,0.218,0.968,121.912,30
I'm Just a Guy,Alton Ellis,Sings Rock and Soul,1970,190466,4,0.683,0.42,7,-11.164,1,0.0506,0.204,0.368,0.108,0.4,80.446,12
I'm Still in Love With You,Alton Ellis,Sings Rock and Soul,1970,201493,4,0.738,0.416,7,-9.108,1,0.0322,0.511,0.000197,0.122,0.769,86.535,24
If I Could Rule the World,Alton Ellis,Rebel Music: A Reggae Anthology,1971,147226,4,0.596,0.393,9,-8.97,0,0.0415,0.76,0.0197,0.0741,0.72,91.379,3
Muriel,Alton Ellis,Reggae Legends: Alton Ellis,1970,228813,3,0.356,0.458,5,-10.298,1,0.0404,0.000709,0.855,0.311,0.539,168.634,6
Rock Steady,Alton Ellis,Mr Soul of Jamaica,1967,160266,4,0.677,0.346,0,-9.039,1,0.0595,0.611,0.00613,0.0646,0.778,173.056,48
These Eyes,Alton Ellis,Sunday Coming,1973,173533,4,0.831,0.483,0,-11.005,1,0.231,0.0119,0.00198,0.113,0.622,84.233,30
What Does It Take (To Win Your Love),Alton Ellis,Mr Soul of Jamaica,1970,198053,4,0.807,0.492,5,-9.911,1,0.0461,0.103,0.00382,0.0733,0.853,116.543,48
Don't Turn Around,Aswad,Distant Thunder,1988,220026,4,0.756,0.558,4,-16.157,1,0.0476,0.162,0.0000055,0.0748,0.802,97.002,48
Dub Fire,Aswad,New Chapter Of Dub,1982,270066,4,0.701,0.33,2,-13.127,1,0.0542,0.113,0.15,0.267,0.463,129.233,38
Give A Little Love,Aswad,Distant Thunder,1989,254333,4,0.622,0.468,6,-17.068,0,0.0346,0.0813,0.000056,0.155,0.831,79.325,19
Next To You,Aswad,Too Wicked,1988,219560,4,0.718,0.783,1,-10.879,0,0.0518,0.0181,0.00000429,0.28,0.958,99.688,24
Night Nurse,Aswad,Cool Summer Reggae,1984,207840,4,0.832,0.556,10,-6.965,0,0.0785,0.0246,0.0002,0.0751,0.847,169.946,8
Roots Rocking,Aswad,Live & Direct,1982,245826,4,0.699,0.408,8,-14.477,1,0.215,0.459,0.000352,0.751,0.781,67.661,29
Shine,Aswad,Cool Summer Reggae,1984,226466,4,0.757,0.871,2,-5.543,0,0.0507,0.014,0.00246,0.0544,0.553,104.994,37
Warrior Charge,Aswad,Crucial Tracks,1982,346173,4,0.803,0.467,9,-14.592,0,0.0671,0.0388,0.000179,0.488,0.791,137.556,9
King Tubby Meets The Rockers Uptown,Augustus Pablo,Classic Rockers,1976,153666,4,0.761,0.663,1,-12.255,1,0.0473,0.0193,0.91,0.175,0.822,132.39,38
King Tubby's Meets Rockers Uptown,Augustus Pablo,King Tubbys Meets Rockers Uptown,1976,152813,4,0.804,0.577,1,-11.39,1,0.0441,0.0192,0.884,0.0955,0.429,131.968,43
Black Roses,Barrington Levy,"Original Ragga Muffin, Pt.1",1982,187600,4,0.815,0.521,1,-7.043,1,0.0795,0.0658,0.00435,0.118,0.87,84.985,61
Bounty Hunter,Barrington Levy,Reggae Anthology: Sweet Reggae Music (1979-84),1983,185773,4,0.819,0.771,2,-4.196,1,0.0687,0.141,0.474,0.112,0.807,130.18,19
Here I Come,Barrington Levy,Reggae Anthology: Sweet Reggae Music (1979-84),1979,217200,4,0.586,0.663,4,-6.547,0,0.0825,0.161,0,0.198,0.693,170.743,59
Money Move,Barrington Levy,The Barrington Levy Collection,1986,202893,4,0.794,0.416,8,-14.604,1,0.332,0.382,0,0.0723,0.819,81.077,13
Murderer,Barrington Levy,"Original Ragga Muffin, Pt.1",1985,233160,4,0.866,0.548,0,-10.064,1,0.261,0.0785,0.272,0.0794,0.579,142.752,61
Too Experienced,Barrington Levy,The Barrington Levy Collection,1984,202240,4,0.738,0.392,10,-13.351,0,0.136,0.103,0,0.208,0.715,175.814,46
