,Unnamed: 0,Song Type,Title,LINK,duration_sec
0,0,Real,Three Little Birds,https://youtu.be/HNBCVM4KbUM?si=hN2504I5vDT-pHrh,
1,1,Real,Could You Be Loved,https://youtu.be/1ti2YCFgCoI?si=GENEhkgrLVHfQ9Gj,
2,2,Real,Is This Love,https://youtu.be/69RdQFDuYPI?si=J_C9WdIHf3NRTR2T,
3,3,Real,Jamming,https://youtu.be/oqVy6eRXc7Q?si=tAE8RFJ2sweqTT1a,
4,4,Real,Buffalo Soldier,https://youtu.be/uMUQMSXLlHM?si=XFcnRwx6ITYW8Ur2,
5,5,Real,Beat Down Babylon,https://youtu.be/LzZ5PeBHZl0?si=PRTbZTXoz1JP1kG0,
6,6,Real,Disco Devil,https://youtu.be/vjC2WT7VOyE?si=ZDtGl6aK_38r53lh,
7,7,Real,Having A Party,https://youtu.be/pEwEOv1QRk8?si=ytWeO4waR7oucrKY,
8,8,Real,I Am The Upsetter,https://youtu.be/JE4ja5oErfA?si=uwWPqnS2ww6xxNov,
9,9,Real,Rude Boy,https://youtu.be/iqi6Xn5DQlQ?si=KLh5HgJtl1yc1DKo,
10,10,Real,Marcus Garvey,https://youtu.be/oGN3R49-CAE?si=cfvGmM5MQXqAH8IS,
11,11,Real,Hail H.I.M,https://youtu.be/2m76FRV92Rg?si=tPf1wyIP2H5ew3YO,
12,12,Real,Columbus,https://youtu.be/7qXHU6wla8A?si=__rzp1pbnZKn-osK,
13,13,Real,African Teacher,https://youtu.be/AFky4_XpB6c?si=4oFHBrjFbojFgRu2,
14,14,Real,Slavery Days,https://youtu.be/zL3rt6RTqps?si=hr5orcpO7IlhVaqC,
15,15,Real,Johnny B. Goode,https://youtu.be/FTvehe6kPjU?si=8i2jDlRZUwEm5kIa,
16,16,Real,Legalize It,https://youtu.be/6cIePqdz03A?si=9Cz0YpHdnY7p3Xay,
17,17,Real,Wanted Dread and Alive,https://youtu.be/h87cbH7Iogc?si=XTG7_JqK9j-1vZDE,
18,18,Real,I Am That I Am,https://youtu.be/2DMTgTaWGnE?si=LJwPE0lcS9o2ZSZ4,
19,19,Real,"Get Up, Stand Up",https://youtu.be/mnq1whAJ05Q?si=gLGbtvcbHORlL5_s,
20,20,Real,I Can See Clearly Now,https://youtu.be/MrHxhQPOO2c?si=oU-Ej5A3VODvEOmr,
21,21,Real,Reggae Night,https://youtu.be/m3Uh24QiJUI?si=j_ZPiHDHdHpg519Q,
22,22,Real,The Harder They Come,https://youtu.be/7Znh0OM9jiA?si=w_xxc-1A77j47fe3,
23,23,Real,"Wonderful World, Beautiful People",https://youtu.be/zCJYl9Irayk?si=ZCxyiSk4Txonr5Jp,
24,24,Real,You Can Get It If You Really Want,https://youtu.be/U7dBMYUyRAQ?si=Eb34TdO3YUmtO8eh,
25,25,AI,Embrace The Joy,https://www.youtube.com/watch?v=UTuW2v-ySa8&list=PLRpL2VYij6DEc_TdmVuY3DEpG20G2HnON,
26,26,AI,Warriors of Society,https://youtu.be/mcyrlJxmtXA?si=fQHlELAwLL-XHAWj,
27,27,AI,Slumber,https://youtu.be/m4viFEZyo1U?si=-8_mqMSkT_BUrLa0,
28,28,AI,On My Own,https://youtu.be/aK4EUJzSpXw?si=7gU8gbv-XxdHusuy,
29,29,AI,Set Me Free,https://youtu.be/_Qw8oIK7exM?si=Bo132TVfA35q3B7i,
30,30,AI,Weekend's Melody,https://youtu.be/5NNP_nk_VhY?si=-W0hLlXo-gD2eXfE,
31,31,AI,MAÑANA MAN,https://youtu.be/Yhx_R7dvVFA?si=bfgKXm05E3VeX6pD,
32,32,AI,Babylon Online,https://youtu.be/PWpjzC1VjAs?si=UdrcE3VX8AeSKDJf,
33,33,AI,Book of Life,https://youtu.be/Emvss6IUELo?si=hbUUrpN0uBPoVTC9,
34,34,AI,Seeds of Tomorrow,https://youtu.be/BBH4ZJdFpcA?si=Un9Y3sKoea7SCVeM,
35,35,AI,Michael Jackson – They Don't Care About Us,https://www.youtube.com/watch?v=uSXpEE0gLKA&list=PLwRnSrsZvWUNrKzlnzbanCBZwX_mDRZTW,
36,36,Real,Etana - Blessings ft. Alborosie | Official Music Video,https://www.youtube.com/watch?v=gAMZMWvAxjo,228.0
37,37,Real,Alborosie - Herbalist,https://www.youtube.com/watch?v=MYp_gJQwRx8,191.0
38,38,Real,Alborosie - Kingdom Of Zion (audio),https://www.youtube.com/watch?v=MP3Cu1UZbZc,202.0
39,39,Real,Alborosie - Rastafari Anthem (audio),https://www.youtube.com/watch?v=3A0ETb9z_PQ,207.0
40,40,Real,Alborosie - Still Blazing (audio),https://www.youtube.com/watch?v=uA112N_meog,231.0
41,41,Real,Apartheid Is Nazism (2010 Remastered Edition),https://www.youtube.com/watch?v=Em1ciK2xpcw,288.0
42,42,Real,Brigadier Sabari (2010 Remastered Edition),https://www.youtube.com/watch?v=Q7JYvWpCMJI,284.0
43,43,Real,Cocody Rock (2010 Remastered Edition),https://www.youtube.com/watch?v=jNPdBP_4dyc,294.0
44,44,Real,I Wish You Were Here,https://www.youtube.com/watch?v=wTrJ1mWach0,267.0
45,45,Real,Alpha Blondy - Jerusalem (Official Video),https://www.youtube.com/watch?v=WcqK9Ls7Eos,249.0
46,46,Real,Alton Ellis - Breaking up is hard to do-Studio One Reggae,https://www.youtube.com/watch?v=siawqK8fjGs,313.0
47,47,Real,Cry Tough - Original,https://www.youtube.com/watch?v=v86zbB9ONsU,254.0
48,48,Real,Alton Ellis - Dance Crasher,https://www.youtube.com/watch?v=-Ctg1FK0sYE,161.0
49,49,Real,Alton Ellis  - I'm Just A Guy  1967,https://www.youtube.com/watch?v=_BAv5lA_bzQ,191.0
50,50,Real,"Alton Ellis ""I'm Still In Love With You Girl""",https://www.youtube.com/watch?v=yR8XrBKLc1E,205.0
51,51,Real,Alton Ellis  -  If I Could Rule The World  1965 73,https://www.youtube.com/watch?v=DVGx7s2d0zk,148.0
52,52,Real,Alton Ellis -  Muriel -    (Live at London Jazz Cafe 2008),https://www.youtube.com/watch?v=abVMvBOI7ng,290.0
53,53,Real,Alton Ellis - Rocksteady,https://www.youtube.com/watch?v=9HhN3iNmFb8,156.0
54,54,Real,Alton Ellis - These Eyes,https://www.youtube.com/watch?v=_HRnS9y5zzg,174.0
55,55,Real,Alton Ellis 'What Does It Take (To Win Your Love)' (Official Audio),https://www.youtube.com/watch?v=RxWmjMMhApE,196.0
56,56,Real,Aswad - Don't Turn Around,https://www.youtube.com/watch?v=xhkNb3XXats,197.0
57,57,Real,Dub Fire,https://www.youtube.com/watch?v=7cC8ZZa-Grw,270.0
58,58,Real,ASWAD - GIVE A LITTLE LOVE,https://www.youtube.com/watch?v=g_WINUbpjmM,218.0
59,59,Real,Aswad - Next To You,https://www.youtube.com/watch?v=xgEcXALPzN0,222.0
60,60,Real,Aswad  -  Night Nurse   2002,https://www.youtube.com/watch?v=Lh4aoEgnt4g,208.0
61,61,Real,Roots Rocking,https://www.youtube.com/watch?v=VA9gRfaiK2o,246.0
62,62,Real,Aswad - Shine,https://www.youtube.com/watch?v=IIw3BtSPHtI,223.0
63,63,Real,Aswad ‎- Warrior Charge,https://www.youtube.com/watch?v=E25u3xfiNW8,709.0
64,64,Real,Augustus Pablo - King Tubby Meets Rockers Uptown,https://www.youtube.com/watch?v=wbCrYBWh62Y,153.0
65,65,Real,Augustus Pablo - King Tubby Meets Rockers Uptown,https://www.youtube.com/watch?v=wbCrYBWh62Y,153.0
66,66,Real,Barrington Levy - Black Roses,https://www.youtube.com/watch?v=OdhEAl_sI1A,182.0
67,67,Real,Barrington Levy - Bounty Hunter,https://www.youtube.com/watch?v=4-JBjuxq0sw,189.0
68,68,Real,Barrington Levy   Here I Come Broader Than Broadway HQ Video,https://www.youtube.com/watch?v=3epH_KNnwYE,210.0
69,69,Real,Barrington Levy - Money Move (Power House LP 1984),https://www.youtube.com/watch?v=UcVAKRRhQc4,1738.0
70,70,Real,Barrington Levy - Murderer,https://www.youtube.com/watch?v=W9mvTNh-plY,221.0
71,71,Real,Too Experienced - Barrington Levy,https://www.youtube.com/watch?v=HBDhHZRmMW4,204.0
72,72,Real,Under Mi Sensi,https://www.youtube.com/watch?v=uozhx1xeTDg,251.0
73,73,Real,Bad Man Nuh Flee,https://www.youtube.com/watch?v=g1ogOfIilbo,194.0
74,74,Real,Beenie Man - Call di doctor (Chicatita riddim),https://www.youtube.com/watch?v=jMPOAyhDmXs,193.0
75,75,Real,Dude,https://www.youtube.com/watch?v=6WX4Ugjh7dE,255.0
76,76,Real,"Beenie Man, Mya - Girls Dem Sugar",https://www.youtube.com/watch?v=sW_ePQRvrKI,261.0
77,77,Real,Beenie Man - King Of The Dancehall,https://www.youtube.com/watch?v=D_rkOdie5KY,215.0
78,78,Real,Beenie Man- Let Him Go,https://www.youtube.com/watch?v=E_LWp7z_Grk,206.0
79,79,Real,Beenie Man feat. Fambo- I'm Okay/Drinking Rum & Redbull Official Music Video HD,https://www.youtube.com/watch?v=uCPeIBulq9I,223.0
80,80,Real,Beenie Man - Who Am I (Sim Simma) | Official Music Video,https://www.youtube.com/watch?v=WI-xQ7IksUc,224.0
81,81,Real,Beenie Man - Who Am I (Dancehall Remix) | Official Audio,https://www.youtube.com/watch?v=B5N5wMbu8KQ,212.0
82,82,Real,Beres Hammond  -  Ain't That Loving You    2003,https://www.youtube.com/watch?v=dyRN8CzOBzc,228.0
83,83,Real,Come Back Home,https://www.youtube.com/watch?v=ZEuCEQTp7Bc,215.0
