,id,duration
0,K6oYyG0KcvQ,242
1,rX4WTQIxU1E,222
2,DVVsXkbeqEo,272
3,f77NV7PM7MY,370
4,CO1YS4Ff0aU,391
5,rl6kSGdQANY,584
6,ERU5AjJ0iG8,241
7,_w8iqT4cVIg,364
8,e8B7yYXqrjM,222
9,1FnYUkfRaBQ,200
10,QQu8TVI3JtU,214
11,5bJ_4MMAscQ,218
12,oAm87VmwYOw,260
13,gw5Euwz0qsA,326
14,b-2n7VLBHi0,147
15,ysyoP2mjYWI,199
16,RCHTAu4In70,169
17,5NXYSGcx1mM,278
18,6ZfYLAUNynE,348
19,2Q3dGZPguSM,229
20,TingYha7t7Y,204
21,-SvridcLD-I,238
22,_2wpfZEN8cU,183
23,G7sL-_Nl2QY,203
24,Hj8TcCopyzc,215
25,QmqPWdEuwhw,242
26,qeIckqEWCvs,221
27,sQepALP1Xwc,238
28,UeyRvNFJgL0,191
29,Y7JWg07GF3o,229
30,qnVejcgUgjw,227
31,MKKkuhDLHps,451
32,TpqP9U9NzSQ,266
33,7DGeTmex51o,260
34,qWlLPaImRDY,289
35,o5jYyNl-bYQ,361
36,0B-magM6wNs,435
37,thAIw6vhchw,228
38,TKPNV0DckMs,201
39,h67Eepf1kas,293
40,1Wh4lqqBSjA,327
41,g5sOdcK2hp4,160
42,aYZOYWhwA04,183
43,CXHRd3NhBhQ,235
44,B-sf5aycPnA,270
45,zYeGGNTG8Y0,223
46,VnrplbIae64,244
47,aqpmmfIwqgA,218
48,KXwKKO7s-_M,208
49,OMouFnbr7iU,249
50,9pEKQt0r9TU,251
51,Z8D8Kp_sMu8,160
52,Blqb9HnUF70,138
53,uDT3tXnGFYk,217
54,G61qDnV23_Q,220
55,RT_wBSd8w4A,147
56,FvAUlhvVxR8,238
57,eR8UnjYag-U,219
58,IfAEib9eWb4,192
59,XMWqxyX7jPE,203
60,Kf8LXH0PuYE,402
61,jN21FstgeV8,210
62,CYgnE45HtVs,212
63,HYyhjxSjfOM,202
64,heyRy0fCRVI,209
65,Q58l-DZLA5A,205
66,CfK5mpClOoI,318
67,vjC2WT7VOyE,472
68,O83fBFqsn4A,207
69,Ib_7kaoe3uw,209
70,zpVtxNCPQu0,216
71,_BOeux37NHs,190
72,CvUswefcglU,248
73,YuJdUsu-jbo,181
74,4QDLXZRhqAA,267
75,isMjvRpAckU,327
76,Km6cE9yfv6Y,362
77,zrDfELIu8Lw,161
78,7uvY5qU7ayg,227
79,kPtGZ-H40Ks,240
80,YszQiElhKxA,249
81,lMVeq9qZtxI,205
82,IwvNG243sjA,323
83,RsKAaLVNOLw,201
84,PnTmXD4eDKk,234
85,efd5whbLGZc,267
86,Ww3PWzt-Sl4,262
87,9obm__-OGdI,244
88,5nwUS3DdIC0,239
89,dtpDmZpjsJE,214
90,eYlZs3-w_Eg,243
91,Ur5yqXuvno0,216
92,kCQ6jtR0KGI,291
93,DpN0Lt-TqrE,184
94,ZV_afu1-jDw,188
95,H8ULIw0Zgaw,189
96,dsFpUW48Tnc,292
97,p53pDNodxHE,185
98,WRmBChQjZPs,213
99,7uyjRNLckAQ,247
100,E_Vt4MlbM0c,228
101,Xqaaiq-cU90,266
102,XcMNfX5yh28,203
103,Uu8G4exThE0,294
104,Lh_zfFbileE,289
105,Lixm0ajWCi8,232
106,PFlRc2AvQHI,174
107,m7xLUXHNw8g,167
108,Wu8Z5ABLwC4,328
109,4H2njnDibzk,266
110,0F4OQbGp9PI,214
111,dm3z_7Dl5b4,210
112,S4ZWD_0VRK8,215
113,oM8zGZlNJMo,236
114,4cgraPW4BSg,199
115,mWj9w7Z99BM,220
116,MwJOqhJocoY,245
117,iGkw4Sl9kFo,209
118,JJ8yi2pnREA,197
119,SxMP_nRU4qk,202
120,-PMZNj0bhlA,230
121,DrNxNqX4XmM,275
122,8u9g9XjjYJ0,361
123,JJSQMxoGEfk,295
124,ILX8XmZC25Y,528
125,VLZDucQFnuQ,254
126,Oo3Akc6sHls,229
127,hS1ksCv9o5c,202
128,f0XaGcIWxjY,215
129,y79XfaTX9jw,270
130,1UvyLS4Prq0,242
131,r3sBpLlPmlY,282
132,DUtnh4DU7ms,225
133,pSywtiAirKE,231
134,vWZ4Mv3v0PA,447
135,E1V2eJYoQAA,382
136,PvdL5EHmPAo,299
137,oI7_QU63d-U,245
138,rcnI79rvaPY,209
139,VkM2JQtth1Q,3849
140,V71LaTMTX_A,7348
141,yPooz-UIvRY,4190
142,eoLa8k2Eh30,5750
143,II1Wj2Pnp1I,3827
144,KadeNcdV3Sw,4099
145,-MqjagwDxLY,4266
146,c9k6sm-5-X8,4030
147,Ls28eKZ_jos,4388
148,vklvw5E5He0,6865
149,hdHOSs1oqLg,3669
150,CGT-Dnvyl9I,3793
