Song Type,Title,Artist,LINK
Real,Three Little Birds,Bob Marley & The Wailers,https://youtu.be/HNBCVM4KbUM?si=hN2504I5vDT-pHrh
Real,Could You Be Loved,Bob Marley & The Wailers,https://youtu.be/1ti2YCFgCoI?si=GENEhkgrLVHfQ9Gj
Real,Is This Love,Bob Marley & The Wailers,https://youtu.be/69RdQFDuYPI?si=J_C9WdIHf3NRTR2T
Real,Jamming,Bob Marley & The Wailers,https://youtu.be/oqVy6eRXc7Q?si=tAE8RFJ2sweqTT1a
Real,Buffalo Soldier,Bob Marley & The Wailers,https://youtu.be/uMUQMSXLlHM?si=XFcnRwx6ITYW8Ur2
Real,Beat Down Babylon,"Lee ""Scratch"" Perry",https://youtu.be/LzZ5PeBHZl0?si=PRTbZTXoz1JP1kG0
Real,Disco Devil,"Lee ""Scratch"" Perry",https://youtu.be/vjC2WT7VOyE?si=ZDtGl6aK_38r53lh
Real,Having A Party,"Lee ""Scratch"" Perry",https://youtu.be/pEwEOv1QRk8?si=ytWeO4waR7oucrKY
Real,I Am The Upsetter,"Lee ""Scratch"" Perry",https://youtu.be/JE4ja5oErfA?si=uwWPqnS2ww6xxNov
Real,Rude Boy,"Lee ""Scratch"" Perry",https://youtu.be/iqi6Xn5DQlQ?si=KLh5HgJtl1yc1DKo
Real,Marcus Garvey,Burning Spear,https://youtu.be/oGN3R49-CAE?si=cfvGmM5MQXqAH8IS
Real,Hail H.I.M,Burning Spear,https://youtu.be/2m76FRV92Rg?si=tPf1wyIP2H5ew3YO
Real,Columbus,Burning Spear,https://youtu.be/7qXHU6wla8A?si=__rzp1pbnZKn-osK
Real,African Teacher,Burning Spear,https://youtu.be/AFky4_XpB6c?si=4oFHBrjFbojFgRu2
Real,Slavery Days,Burning Spear,https://youtu.be/zL3rt6RTqps?si=hr5orcpO7IlhVaqC
Real,Johnny B. Goode,Peter Tosh,https://youtu.be/FTvehe6kPjU?si=8i2jDlRZUwEm5kIa
Real,Legalize It,Peter Tosh,https://youtu.be/6cIePqdz03A?si=9Cz0YpHdnY7p3Xay
Real,Wanted Dread and Alive,Peter Tosh,https://youtu.be/h87cbH7Iogc?si=XTG7_JqK9j-1vZDE
Real,I Am That I Am,Peter Tosh,https://youtu.be/2DMTgTaWGnE?si=LJwPE0lcS9o2ZSZ4
Real,"Get Up, Stand Up",Peter Tosh,https://youtu.be/mnq1whAJ05Q?si=gLGbtvcbHORlL5_s
Real,I Can See Clearly Now,Jimmy Cliff,https://youtu.be/MrHxhQPOO2c?si=oU-Ej5A3VODvEOmr
Real,Reggae Night,Jimmy Cliff,https://youtu.be/m3Uh24QiJUI?si=j_ZPiHDHdHpg519Q
Real,The Harder They Come,Jimmy Cliff,https://youtu.be/7Znh0OM9jiA?si=w_xxc-1A77j47fe3
Real,"Wonderful World, Beautiful People",Jimmy Cliff,https://youtu.be/zCJYl9Irayk?si=ZCxyiSk4Txonr5Jp
Real,You Can Get It If You Really Want,Jimmy Cliff,https://youtu.be/U7dBMYUyRAQ?si=Eb34TdO3YUmtO8eh
AI,Embrace The Joy,Suno AI,https://www.youtube.com/watch?v=UTuW2v-ySa8&list=PLRpL2VYij6DEc_TdmVuY3DEpG20G2HnON
AI,Warriors of Society,Suno AI,https://youtu.be/mcyrlJxmtXA?si=fQHlELAwLL-XHAWj
AI,Slumber,Suno AI,https://youtu.be/m4viFEZyo1U?si=-8_mqMSkT_BUrLa0
AI,On My Own,Suno AI,https://youtu.be/aK4EUJzSpXw?si=7gU8gbv-XxdHusuy
AI,Set Me Free,Suno AI,https://youtu.be/_Qw8oIK7exM?si=Bo132TVfA35q3B7i
AI,Weekend's Melody,Suno AI,https://youtu.be/5NNP_nk_VhY?si=-W0hLlXo-gD2eXfE
AI,MAÑANA MAN,Suno AI,https://youtu.be/Yhx_R7dvVFA?si=bfgKXm05E3VeX6pD
AI,Babylon Online,Suno AI,https://youtu.be/PWpjzC1VjAs?si=UdrcE3VX8AeSKDJf
AI,Book of Life,Suno AI,https://youtu.be/Emvss6IUELo?si=hbUUrpN0uBPoVTC9
AI,Seeds of Tomorrow,Suno AI,https://youtu.be/BBH4ZJdFpcA?si=Un9Y3sKoea7SCVeM
AI,Michael Jackson – They Don't Care About Us,AI Flow Radio,https://www.youtube.com/watch?v=uSXpEE0gLKA&list=PLwRnSrsZvWUNrKzlnzbanCBZwX_mDRZTW
